CustomerID,TotalAmount,OrderCount,Quantity,AvgOrderValue
12346.0,77183.6,1,74215,77183.6
12347.0,4310.0,7,2458,615.7142857142857
12348.0,1797.24,4,2341,449.31
12349.0,1757.55,1,631,1757.55
12350.0,334.4,1,197,334.4
12352.0,2506.04,8,536,313.255
12353.0,89.0,1,20,89.0
12354.0,1079.4,1,530,1079.4
12355.0,459.4,1,240,459.4
12356.0,2811.43,3,1591,937.1433333333333
12357.0,6207.67,1,2708,6207.67
12358.0,1168.06,2,248,584.03
12359.0,6372.58,4,1622,1593.145
12360.0,2662.06,3,1165,887.3533333333334
12361.0,189.9,1,91,189.9
12362.0,5226.23,10,2229,522.6229999999999
12363.0,552.0,2,408,276.0
12364.0,1313.1,4,1506,328.275
12365.0,641.38,2,174,320.69
12367.0,168.9,1,173,168.9
12370.0,3545.69,4,2353,886.4225
12371.0,1887.96,2,591,943.98
12372.0,1298.04,3,794,432.68
12373.0,364.6,1,197,364.6
12374.0,742.9300000000001,1,342,742.9300000000001
12375.0,457.5,2,178,228.75
12377.0,1628.12,2,944,814.06
12378.0,4008.62,1,2529,4008.62
12379.0,852.24,2,407,426.12
12380.0,2724.81,4,1127,681.2025
12381.0,1845.31,5,808,369.062
12383.0,1850.56,5,1532,370.11199999999997
12384.0,585.27,2,126,292.635
12386.0,401.9,2,354,200.95
12388.0,2780.66,6,1462,463.4433333333333
12390.0,549.84,1,353,549.84
12391.0,460.89,1,300,460.89
12393.0,1582.6000000000001,4,816,395.65000000000003
12394.0,1272.48,2,819,636.24
12395.0,3018.63,12,2118,251.5525
12397.0,2409.9,2,1263,1204.95
12398.0,1635.6599999999999,1,1394,1635.6599999999999
12399.0,1108.65,4,1178,277.1625
12401.0,84.3,1,11,84.3
12402.0,225.6,1,94,225.6
12403.0,427.7,1,96,427.7
12405.0,1710.39,1,857,1710.39
12406.0,3415.3,2,1818,1707.65
12407.0,1708.1200000000001,5,1416,341.624
12408.0,2888.55,5,1409,577.71
12409.0,11072.67,3,5551,3690.89
12410.0,693.3299999999999,2,211,346.66499999999996
12412.0,1226.88,3,829,408.96000000000004
12413.0,758.1,3,286,252.70000000000002
12414.0,562.41,3,300,187.47
12415.0,124914.53,21,77374,5948.310952380953
12417.0,3649.1,9,1552,405.4555555555555
12418.0,668.58,1,407,668.58
12420.0,600.39,1,345,600.39
12421.0,807.04,4,484,201.76
12422.0,803.5600000000001,3,370,267.85333333333335
12423.0,1859.31,8,1339,232.41375
12424.0,1760.96,2,740,880.48
12425.0,777.2,1,496,777.2
12426.0,582.73,1,258,582.73
12427.0,825.8,3,533,275.26666666666665
